time, mouse_x, mouse_y, right_eye_x, right_eye_y, left_eye_x, left_eye_y
1671143100.5082986, 859, 97, 318, 117, 239, 131
1671143100.5633063, 981, 209, 320, 115, 242, 128
1671143100.6123013, 1078, 321, 324, 115, 243, 128
1671143100.6623027, 1122, 379, 327, 116, 247, 127
1671143100.7083013, 1128, 386, 327, 116, 247, 127
1671143100.7632983, 1128, 386, 328, 116, 249, 127
1671143100.8143046, 1128, 387, 330, 116, 251, 127
1671143100.8562984, 1129, 390, 330, 116, 250, 127
1671143100.8983002, 1129, 390, 333, 117, 252, 126
1671143100.9363837, 1129, 390, 334, 116, 253, 126
1671143100.9713504, 1130, 392, 334, 116, 253, 126
1671143101.008346, 1132, 396, 335, 117, 254, 126
1671143101.042366, 1132, 397, 335, 117, 254, 126
1671143101.0795393, 1132, 397, 335, 117, 254, 126
1671143101.1135404, 1132, 397, 335, 117, 254, 126
1671143101.149587, 1132, 397, 335, 117, 254, 126
1671143101.184145, 1132, 397, 335, 117, 254, 126
1671143101.2191434, 1132, 397, 336, 116, 255, 126
1671143101.2551942, 1132, 397, 336, 116, 255, 126
1671143101.2891958, 1132, 397, 338, 116, 258, 124
1671143101.32443, 1132, 397, 338, 116, 258, 124
1671143101.3604305, 1132, 397, 341, 115, 261, 124
1671143101.398445, 1132, 397, 344, 115, 263, 122
1671143101.4334297, 1132, 397, 344, 115, 263, 122
1671143101.475432, 1132, 397, 347, 115, 266, 122
1671143101.5124323, 1132, 397, 347, 115, 266, 122
1671143101.5514286, 1132, 397, 349, 116, 268, 122
1671143101.5894282, 1132, 397, 349, 115, 269, 121
1671143101.627442, 1132, 397, 350, 116, 270, 122
1671143101.666433, 1132, 397, 350, 116, 270, 122
1671143101.7064543, 1132, 397, 350, 115, 269, 121
1671143101.7504292, 1132, 397, 349, 115, 268, 121
1671143101.7974362, 1132, 397, 348, 115, 268, 121
1671143101.8364334, 1132, 397, 348, 115, 268, 121
1671143101.875434, 1132, 397, 349, 115, 268, 121
1671143101.9124303, 1132, 397, 349, 115, 268, 121
1671143101.9494667, 1132, 397, 348, 115, 268, 122
1671143101.9844267, 1132, 397, 349, 115, 268, 122
1671143102.0184379, 1132, 397, 349, 115, 268, 122
1671143102.0524268, 1132, 397, 349, 115, 268, 121
1671143102.0884278, 1132, 397, 349, 115, 268, 122
1671143102.122429, 1132, 397, 349, 115, 269, 122
1671143102.157428, 1132, 397, 349, 116, 268, 122
1671143102.1914294, 1132, 397, 350, 116, 268, 122
1671143102.2254272, 1132, 397, 350, 116, 269, 121
1671143102.2604284, 1132, 397, 349, 115, 269, 121
1671143102.3004305, 1132, 397, 349, 115, 268, 121
1671143102.341431, 1132, 397, 350, 115, 269, 122
1671143102.3804307, 1132, 397, 349, 115, 269, 122
1671143102.4174309, 1132, 397, 349, 116, 269, 122
1671143102.4534326, 1132, 397, 349, 116, 269, 122
1671143102.4974315, 1132, 397, 350, 116, 269, 122
1671143102.5384302, 1132, 397, 350, 116, 270, 122
1671143102.5764315, 1132, 397, 350, 116, 270, 122
1671143102.6134317, 1132, 397, 350, 116, 270, 122
1671143102.6504304, 1132, 397, 350, 116, 270, 122
1671143102.689431, 1132, 397, 350, 117, 270, 122
1671143102.7284324, 1132, 397, 350, 116, 269, 122
1671143102.7704325, 1132, 397, 350, 116, 269, 122
1671143102.8174303, 1132, 397, 350, 116, 270, 122
1671143102.857432, 1132, 397, 350, 116, 270, 122
1671143102.896466, 1132, 397, 350, 116, 269, 123
1671143102.9314334, 1132, 397, 350, 116, 269, 123
1671143102.966454, 1134, 400, 350, 116, 269, 122
1671143103.0024285, 1137, 408, 350, 116, 269, 122
1671143103.0374537, 1141, 417, 350, 116, 269, 123
1671143103.0734298, 1144, 426, 350, 117, 270, 123
1671143103.1074655, 1144, 427, 350, 117, 270, 123
1671143103.1414304, 1144, 427, 350, 117, 270, 123
1671143103.1754315, 1144, 427, 350, 117, 270, 123
1671143103.2094026, 1144, 427, 351, 117, 270, 123
1671143103.2442904, 1144, 427, 351, 117, 270, 123
1671143103.2782545, 1144, 427, 351, 116, 270, 123
1671143103.3122554, 1144, 427, 351, 117, 270, 123
1671143103.3482497, 1144, 427, 351, 117, 270, 123
1671143103.3852515, 1144, 427, 351, 117, 270, 123
1671143103.4242508, 1140, 427, 351, 117, 271, 124
1671143103.463251, 1136, 427, 351, 117, 271, 123
1671143103.5042522, 1130, 424, 351, 117, 271, 123
1671143103.5472517, 1123, 420, 352, 117, 271, 124
1671143103.5922525, 1108, 409, 352, 117, 271, 123
1671143103.635253, 1091, 391, 352, 117, 271, 123
1671143103.681255, 1065, 348, 352, 114, 272, 121
1671143103.7302518, 1029, 283, 352, 114, 272, 121
1671143103.7792556, 1006, 237, 353, 114, 272, 120
1671143103.8322527, 996, 209, 353, 114, 272, 120
1671143103.8812544, 983, 176, 354, 115, 272, 121
1671143103.9252567, 956, 132, 354, 114, 272, 120
1671143103.9702566, 926, 89, 354, 114, 272, 120
1671143104.0132532, 905, 62, 354, 114, 272, 120
1671143104.0532544, 898, 48, 354, 114, 272, 120
1671143104.0932534, 897, 34, 354, 114, 272, 121
1671143104.132254, 897, 21, 354, 114, 272, 121
1671143104.1702561, 899, 10, 354, 114, 272, 120
1671143104.2102556, 899, 4, 354, 114, 272, 120
1671143104.2472534, 897, 0, 354, 114, 272, 120
1671143104.2847888, 896, 0, 354, 114, 273, 120
1671143104.325318, 895, 0, 354, 114, 273, 120
1671143104.366318, 895, 0, 354, 114, 273, 120
1671143104.4063168, 895, 0, 354, 114, 273, 120
1671143104.4453166, 895, 0, 354, 114, 273, 120
1671143104.4883175, 895, 0, 354, 114, 273, 120
1671143104.5283175, 895, 2, 354, 114, 273, 120
1671143104.5703197, 895, 6, 354, 114, 273, 120
1671143104.6133184, 895, 8, 355, 113, 273, 119
1671143104.6683197, 895, 9, 354, 114, 273, 120
1671143104.7243207, 895, 9, 354, 114, 273, 120
1671143104.7773209, 895, 9, 354, 114, 273, 120
1671143104.8373194, 895, 9, 354, 114, 273, 120
1671143104.896319, 895, 9, 355, 114, 273, 120
1671143104.9463184, 894, 21, 355, 114, 273, 120
1671143104.994319, 892, 55, 354, 114, 273, 119
1671143105.0443184, 892, 122, 354, 113, 273, 120
1671143105.0883198, 892, 208, 354, 114, 273, 119
1671143105.1363177, 890, 303, 354, 114, 273, 120
1671143105.1823208, 891, 356, 354, 114, 273, 120
1671143105.23232, 893, 379, 354, 114, 272, 120
1671143105.3013225, 893, 382, 353, 114, 272, 120
1671143105.3693206, 893, 382, 353, 113, 272, 120
1671143105.4173179, 893, 382, 352, 114, 272, 119
1671143105.4773216, 893, 382, 352, 114, 271, 120
1671143105.5293188, 893, 382, 351, 114, 271, 119
1671143105.576317, 893, 382, 351, 114, 271, 119
1671143105.6223197, 893, 382, 351, 113, 270, 117
