time, mouse_x, mouse_y, right_eye_x, right_eye_y, left_eye_x, left_eye_y
1671143621.0769932, 862, 18, 342, 106, 265, 112
1671143621.119665, 862, 18, 343, 107, 266, 113
1671143621.154675, 862, 18, 343, 106, 266, 113
1671143621.1906662, 862, 18, 345, 106, 266, 112
1671143621.2402751, 862, 18, 345, 106, 266, 112
1671143621.275276, 862, 18, 346, 107, 268, 112
1671143621.3102756, 862, 18, 348, 107, 270, 113
1671143621.3442757, 862, 18, 348, 107, 270, 113
1671143621.377279, 862, 18, 346, 108, 268, 113
1671143621.413276, 862, 18, 346, 108, 268, 113
1671143621.448278, 862, 18, 345, 107, 268, 114
1671143621.4822767, 862, 18, 345, 107, 268, 114
1671143621.5172765, 862, 18, 344, 108, 267, 114
1671143621.554276, 862, 18, 344, 108, 267, 114
1671143621.5912774, 862, 18, 344, 108, 266, 114
1671143621.6272783, 862, 18, 344, 108, 266, 114
1671143621.6622782, 862, 18, 345, 108, 267, 114
1671143621.7012777, 862, 18, 345, 108, 267, 114
1671143621.7362797, 862, 18, 345, 108, 267, 115
1671143621.7702758, 862, 18, 345, 108, 268, 115
1671143621.8052757, 862, 18, 345, 108, 268, 115
1671143621.840278, 862, 18, 345, 108, 267, 115
1671143621.873277, 862, 18, 345, 108, 267, 115
1671143621.9082778, 862, 18, 344, 109, 266, 115
1671143621.9432752, 862, 18, 344, 108, 266, 115
1671143621.9772758, 862, 18, 343, 108, 265, 116
1671143622.0162756, 862, 18, 343, 108, 265, 116
1671143622.0542777, 862, 18, 343, 109, 264, 116
1671143622.0892782, 862, 18, 343, 109, 264, 116
1671143622.1242816, 862, 18, 343, 109, 265, 115
1671143622.1603131, 862, 18, 343, 109, 265, 115
1671143622.1942773, 862, 18, 344, 109, 266, 115
1671143622.2272775, 862, 18, 344, 109, 266, 115
1671143622.260277, 862, 18, 345, 108, 267, 115
1671143622.2932787, 862, 18, 345, 108, 267, 115
1671143622.3272781, 862, 18, 345, 108, 267, 115
1671143622.3613129, 862, 18, 345, 108, 267, 115
1671143622.396278, 862, 18, 344, 109, 266, 116
1671143622.4303164, 862, 18, 344, 109, 266, 116
1671143622.4662778, 862, 18, 343, 109, 265, 116
1671143622.502315, 862, 18, 343, 109, 265, 116
1671143622.539278, 862, 18, 343, 109, 264, 116
1671143622.5752757, 862, 18, 343, 109, 265, 116
1671143622.6122773, 862, 18, 343, 109, 265, 116
1671143622.6522765, 862, 18, 344, 109, 265, 116
1671143622.6882758, 862, 18, 344, 109, 265, 116
1671143622.7252777, 862, 18, 345, 109, 266, 116
1671143622.7632773, 862, 18, 345, 109, 267, 116
1671143622.7982764, 862, 18, 345, 109, 266, 116
1671143622.833275, 862, 18, 345, 109, 266, 116
1671143622.8682766, 862, 18, 344, 110, 266, 117
1671143622.9022748, 862, 18, 344, 110, 265, 116
1671143622.938314, 862, 18, 343, 109, 265, 116
1671143622.972282, 862, 18, 344, 109, 265, 116
1671143623.0122747, 862, 18, 344, 110, 265, 116
1671143623.0522962, 862, 18, 344, 110, 266, 116
1671143623.0962784, 862, 18, 344, 110, 266, 116
1671143623.134277, 862, 18, 345, 109, 267, 116
1671143623.1702774, 862, 18, 346, 109, 267, 116
1671143623.205275, 862, 18, 346, 109, 267, 116
1671143623.2392752, 862, 18, 346, 109, 267, 116
1671143623.2722802, 862, 18, 346, 109, 268, 116
1671143623.3062775, 862, 18, 346, 109, 267, 117
1671143623.3402767, 862, 18, 346, 109, 267, 116
1671143623.3762755, 862, 18, 346, 109, 266, 116
1671143623.4112768, 862, 18, 346, 109, 266, 116
1671143623.4492762, 863, 31, 345, 110, 266, 117
1671143623.4902787, 886, 97, 345, 110, 266, 116
1671143623.5322762, 952, 239, 346, 109, 267, 116
