time, mouse_x, mouse_y, right_eye_x, right_eye_y, left_eye_x, left_eye_y
1671142760.625693, 929, 542, 357, 67, 286, 73
1671142760.6677008, 930, 542, 357, 68, 287, 71
1671142760.7137306, 933, 543, 357, 68, 287, 71
1671142760.7536955, 934, 539, 358, 67, 286, 72
1671142760.7946935, 925, 523, 358, 67, 287, 71
1671142760.8326924, 909, 497, 358, 67, 287, 71
1671142760.8696918, 889, 471, 358, 67, 287, 72
1671142760.9086952, 874, 453, 358, 67, 287, 72
1671142760.9456918, 865, 448, 358, 67, 286, 71
1671142760.9827058, 863, 448, 358, 68, 287, 72
1671142761.0218527, 861, 448, 358, 68, 287, 72
1671142761.0596943, 857, 448, 358, 68, 287, 71
1671142761.0957277, 854, 448, 358, 68, 287, 71
1671142761.1306608, 851, 444, 358, 68, 287, 71
1671142761.1656938, 848, 440, 358, 67, 287, 71
1671142761.202229, 846, 438, 359, 67, 288, 71
1671142761.2392352, 842, 433, 359, 67, 288, 72
1671142761.2782295, 829, 420, 359, 68, 289, 72
1671142761.3212306, 814, 390, 359, 67, 288, 71
1671142761.3632364, 799, 350, 359, 67, 288, 71
1671142761.404267, 793, 338, 360, 67, 288, 71
1671142761.4432356, 792, 334, 360, 67, 288, 71
1671142761.4812665, 792, 332, 360, 67, 288, 71
1671142761.520232, 792, 332, 359, 67, 288, 71
1671142761.5622356, 792, 330, 359, 67, 288, 71
1671142761.6042295, 790, 318, 360, 66, 287, 70
1671142761.644231, 787, 291, 360, 67, 287, 70
1671142761.683233, 785, 262, 360, 66, 287, 70
1671142761.7262294, 772, 227, 359, 66, 287, 70
1671142761.7662334, 765, 214, 359, 66, 287, 70
1671142761.8062367, 764, 210, 359, 66, 287, 71
1671142761.8442292, 764, 208, 359, 66, 286, 71
1671142761.8832326, 764, 207, 359, 67, 287, 70
1671142761.9202328, 764, 207, 359, 67, 286, 70
1671142761.9622374, 764, 207, 359, 66, 286, 70
1671142762.0032327, 764, 207, 358, 65, 286, 70
1671142762.049231, 764, 205, 359, 65, 286, 70
1671142762.093231, 764, 205, 358, 66, 286, 70
1671142762.1372309, 765, 206, 358, 65, 286, 70
1671142762.1884043, 783, 247, 358, 66, 286, 70
1671142762.2302413, 790, 287, 358, 66, 286, 70
1671142762.2702327, 794, 323, 358, 66, 286, 70
1671142762.3122318, 801, 351, 357, 66, 286, 70
1671142762.3572302, 809, 376, 358, 67, 286, 71
1671142762.3972323, 813, 386, 358, 67, 286, 72
1671142762.4372334, 814, 389, 358, 67, 286, 72
1671142762.477233, 816, 393, 358, 67, 286, 72
1671142762.5172327, 819, 412, 359, 67, 285, 71
1671142762.5572338, 820, 435, 358, 68, 286, 72
1671142762.5992336, 796, 512, 358, 68, 287, 72
1671142762.6442366, 757, 599, 359, 68, 286, 72
1671142762.6872327, 734, 651, 359, 68, 288, 73
1671142762.7282329, 722, 675, 359, 69, 288, 73
1671142762.770236, 714, 685, 359, 69, 288, 73
1671142762.8102338, 701, 698, 360, 68, 288, 73
1671142762.848231, 683, 717, 360, 68, 288, 73
1671142762.8892317, 662, 740, 359, 68, 287, 73
1671142762.9262307, 644, 761, 359, 69, 287, 73
1671142762.9622304, 631, 778, 359, 69, 287, 73
1671142763.0002294, 620, 792, 360, 68, 287, 73
1671142763.0392332, 614, 808, 360, 68, 287, 73
1671142763.0782344, 609, 824, 359, 69, 287, 73
1671142763.1152325, 605, 830, 359, 69, 286, 73
1671142763.1522298, 603, 832, 359, 69, 287, 73
1671142763.190233, 597, 835, 359, 68, 287, 73
1671142763.2292325, 587, 836, 359, 68, 287, 73
1671142763.2682304, 560, 825, 359, 69, 287, 74
1671142763.3062332, 531, 812, 359, 69, 287, 74
1671142763.3472347, 496, 791, 360, 69, 287, 74
1671142763.385767, 472, 776, 359, 69, 287, 73
1671142763.4257646, 453, 768, 359, 69, 287, 73
1671142763.4642773, 446, 768, 359, 69, 287, 74
1671142763.505279, 443, 768, 359, 69, 287, 73
1671142763.544279, 436, 768, 359, 69, 287, 73
1671142763.5822787, 432, 768, 359, 69, 287, 73
1671142763.6202803, 432, 768, 359, 70, 287, 73
1671142763.6632845, 438, 769, 359, 69, 286, 73
1671142763.7032807, 471, 778, 359, 69, 286, 73
1671142763.744278, 515, 796, 360, 69, 286, 74
1671142763.7832797, 545, 806, 359, 69, 286, 74
1671142763.820281, 559, 811, 359, 69, 286, 73
1671142763.858279, 564, 814, 359, 69, 286, 74
1671142763.8962805, 565, 815, 359, 69, 286, 74
1671142763.9322789, 576, 820, 359, 69, 286, 74
1671142763.9682782, 612, 830, 359, 69, 286, 74
1671142764.00328, 650, 837, 359, 70, 287, 74
1671142764.0402806, 683, 842, 359, 70, 287, 75
1671142764.0782802, 717, 842, 359, 70, 287, 74
1671142764.117278, 754, 850, 358, 70, 286, 74
1671142764.15328, 808, 864, 358, 70, 286, 74
1671142764.1952791, 870, 878, 357, 71, 285, 74
1671142764.2352824, 907, 887, 357, 71, 285, 74
1671142764.2752798, 933, 894, 358, 70, 285, 75
1671142764.314283, 966, 901, 357, 70, 285, 74
1671142764.3572812, 1002, 909, 358, 70, 285, 75
1671142764.40828, 1037, 915, 358, 70, 286, 75
1671142764.4572804, 1060, 917, 358, 70, 285, 75
1671142764.4982815, 1066, 917, 358, 70, 285, 74
1671142764.5422814, 1073, 918, 358, 70, 285, 74
1671142764.5892794, 1087, 918, 358, 71, 286, 75
1671142764.6302783, 1100, 917, 358, 70, 286, 74
1671142764.674287, 1128, 897, 358, 70, 285, 74
1671142764.7222831, 1160, 871, 358, 70, 285, 75
1671142764.7642841, 1190, 854, 357, 70, 285, 75
1671142764.8062801, 1219, 835, 357, 70, 284, 75
1671142764.845278, 1242, 826, 357, 70, 284, 74
1671142764.8822784, 1257, 821, 357, 70, 285, 75
1671142764.919277, 1261, 818, 357, 70, 284, 75
1671142764.9562788, 1261, 818, 357, 70, 284, 75
1671142764.994787, 1261, 820, 357, 70, 284, 75
1671142765.0317829, 1249, 830, 357, 70, 284, 75
1671142765.0687835, 1228, 841, 357, 71, 284, 75
1671142765.1067846, 1199, 855, 357, 70, 284, 75
1671142765.1457841, 1172, 869, 357, 70, 284, 75
1671142765.1887925, 1131, 888, 357, 70, 284, 74
1671142765.226786, 1110, 896, 357, 70, 284, 74
1671142765.2677827, 1104, 898, 357, 70, 285, 74
1671142765.3067865, 1104, 898, 357, 70, 285, 75
1671142765.3447838, 1103, 883, 357, 70, 285, 75
1671142765.3837821, 1105, 827, 357, 70, 285, 75
1671142765.4277823, 1106, 727, 357, 70, 285, 75
1671142765.4667828, 1109, 617, 358, 70, 286, 75
1671142765.5057836, 1124, 568, 357, 70, 285, 75
1671142765.544784, 1136, 530, 358, 70, 285, 74
1671142765.5867853, 1140, 511, 358, 69, 285, 74
1671142765.6287854, 1141, 498, 357, 69, 285, 73
1671142765.670821, 1141, 485, 358, 70, 286, 74
1671142765.719785, 1144, 461, 358, 70, 285, 74
1671142765.7647903, 1147, 448, 358, 70, 285, 74
1671142765.8057868, 1148, 442, 358, 70, 285, 73
1671142765.8437889, 1149, 439, 358, 70, 285, 73
1671142765.8817835, 1149, 439, 358, 70, 285, 73
1671142765.9188206, 1149, 438, 358, 70, 285, 73
1671142765.9537823, 1152, 433, 358, 70, 285, 74
1671142765.9907854, 1160, 418, 357, 70, 285, 74
1671142766.0327835, 1168, 401, 358, 70, 285, 74
1671142766.071798, 1177, 373, 357, 70, 284, 74
1671142766.1107836, 1182, 337, 357, 70, 284, 74
1671142766.151787, 1182, 307, 357, 69, 284, 74
1671142766.191788, 1180, 286, 357, 69, 284, 74
1671142766.2307835, 1179, 269, 357, 69, 284, 74
1671142766.2748117, 1179, 254, 357, 70, 284, 74
1671142766.312789, 1180, 252, 357, 70, 284, 74
1671142766.3518195, 1183, 252, 357, 70, 284, 74
1671142766.3917856, 1190, 276, 357, 70, 284, 74
1671142766.4307854, 1192, 309, 357, 70, 283, 74
1671142766.4707835, 1189, 328, 357, 70, 284, 74
1671142766.5117855, 1186, 337, 357, 70, 284, 74
1671142766.5517862, 1182, 345, 357, 70, 284, 74
1671142766.5967832, 1174, 363, 358, 70, 284, 74
1671142766.640785, 1161, 389, 357, 70, 284, 74
1671142766.6907837, 1151, 407, 358, 70, 285, 75
1671142766.7347903, 1149, 409, 357, 70, 285, 75
1671142766.7818117, 1141, 417, 357, 70, 285, 75
1671142766.8297842, 1110, 446, 357, 71, 284, 75
1671142766.8717852, 1081, 481, 357, 70, 284, 75
1671142766.9128206, 1058, 509, 357, 70, 284, 75
1671142766.9527853, 1047, 528, 357, 70, 284, 75
1671142766.992783, 1039, 541, 357, 70, 285, 75
1671142767.031783, 1033, 552, 357, 70, 284, 75
1671142767.0698223, 1028, 561, 357, 70, 284, 75
1671142767.1071613, 1020, 569, 358, 70, 284, 75
1671142767.1451588, 1010, 582, 357, 70, 285, 75
1671142767.1831589, 1005, 587, 357, 70, 285, 75
1671142767.22216, 988, 591, 357, 70, 284, 75
1671142767.260159, 926, 605, 358, 70, 285, 75
1671142767.3001614, 824, 646, 358, 70, 285, 75
1671142767.3411574, 773, 669, 358, 71, 286, 76
1671142767.3811586, 767, 672, 358, 71, 285, 76
1671142767.4191575, 766, 670, 358, 70, 285, 75
1671142767.460196, 755, 662, 358, 71, 285, 75
1671142767.5001574, 739, 663, 358, 71, 285, 75
1671142767.5421555, 701, 679, 359, 71, 285, 75
1671142767.582162, 667, 694, 359, 71, 286, 75
1671142767.6241612, 650, 701, 358, 71, 285, 76
1671142767.66616, 648, 704, 358, 71, 285, 76
1671142767.7111597, 639, 714, 358, 71, 285, 76
1671142767.7561562, 627, 729, 358, 71, 285, 76
1671142767.7991579, 614, 745, 358, 71, 285, 76
1671142767.842159, 597, 757, 358, 71, 285, 76
1671142767.8851578, 592, 760, 358, 71, 285, 76
1671142767.9271598, 592, 759, 358, 72, 286, 77
1671142767.9701555, 610, 732, 358, 72, 285, 77
1671142768.0141609, 647, 698, 358, 71, 285, 76
1671142768.0571601, 681, 688, 357, 71, 285, 76
1671142768.0991585, 692, 686, 358, 71, 285, 76
1671142768.1411564, 704, 684, 357, 71, 285, 76
1671142768.1831558, 720, 681, 358, 71, 285, 76
1671142768.2261617, 740, 685, 358, 71, 285, 76
1671142768.2681615, 795, 703, 358, 71, 285, 75
1671142768.3111582, 894, 727, 358, 71, 285, 75
1671142768.358161, 999, 753, 359, 72, 285, 76
1671142768.4011607, 1031, 766, 357, 72, 284, 76
1671142768.4451616, 1044, 777, 357, 72, 284, 76
1671142768.4863732, 1055, 786, 357, 72, 284, 76
1671142768.529372, 1069, 792, 357, 71, 284, 76
1671142768.5723763, 1086, 797, 357, 72, 283, 76
1671142768.6153736, 1108, 802, 357, 72, 284, 76
1671142768.6583724, 1131, 806, 357, 72, 284, 76
1671142768.7023742, 1143, 809, 357, 72, 283, 77
1671142768.755372, 1147, 812, 357, 72, 284, 77
1671142768.799373, 1152, 815, 357, 72, 284, 77
1671142768.8433733, 1162, 819, 357, 72, 284, 77
1671142768.8843732, 1183, 829, 357, 72, 284, 76
1671142768.9243717, 1214, 845, 357, 72, 284, 76
1671142768.9623723, 1246, 859, 357, 72, 284, 76
1671142769.0013719, 1281, 874, 357, 72, 284, 76
1671142769.041371, 1306, 884, 357, 72, 284, 76
1671142769.0793717, 1327, 893, 357, 72, 284, 76
1671142769.117373, 1344, 901, 357, 72, 283, 76
1671142769.1574075, 1348, 903, 357, 71, 283, 77
1671142769.1953745, 1348, 903, 356, 72, 283, 77
1671142769.2344072, 1348, 903, 356, 72, 283, 77
1671142769.275374, 1341, 901, 356, 72, 283, 78
1671142769.3153718, 1311, 888, 357, 72, 284, 76
1671142769.3573751, 1275, 868, 357, 72, 284, 76
1671142769.398407, 1261, 860, 357, 72, 283, 77
1671142769.4413707, 1255, 855, 357, 72, 283, 77
1671142769.48338, 1235, 839, 357, 72, 283, 77
1671142769.5263739, 1205, 826, 357, 72, 283, 77
1671142769.5683727, 1190, 820, 357, 72, 283, 77
1671142769.6113746, 1185, 817, 356, 72, 283, 77
1671142769.6593745, 1180, 805, 356, 72, 283, 76
1671142769.7063715, 1181, 735, 356, 72, 283, 76
1671142769.7513745, 1185, 602, 356, 71, 283, 75
1671142769.7993717, 1223, 509, 356, 71, 283, 76
1671142769.846376, 1256, 451, 356, 71, 283, 76
1671142769.896406, 1272, 435, 356, 72, 283, 76
1671142769.9423735, 1279, 430, 356, 71, 283, 76
1671142769.9913702, 1284, 419, 356, 72, 284, 76
1671142770.037371, 1296, 402, 356, 72, 284, 76
1671142770.1003692, 1318, 376, 356, 71, 283, 76
1671142770.150372, 1318, 376, 357, 71, 284, 76
1671142770.2003758, 1318, 376, 356, 71, 283, 75
1671142770.245398, 1317, 377, 356, 71, 283, 75
1671142770.2903736, 1318, 377, 356, 71, 283, 75
1671142770.3353744, 1329, 372, 356, 71, 282, 76
1671142770.3933728, 1403, 334, 355, 71, 282, 75
1671142770.4353733, 1478, 297, 356, 71, 282, 75
1671142770.481373, 1495, 284, 355, 71, 281, 75
1671142770.5243754, 1495, 281, 355, 71, 282, 76
1671142770.5663726, 1495, 278, 355, 71, 282, 76
1671142770.6103687, 1494, 278, 355, 71, 282, 75
1671142770.6553748, 1494, 278, 355, 71, 282, 76
1671142770.7063735, 1471, 291, 356, 71, 283, 75
1671142770.7863748, 1401, 323, 356, 71, 282, 76
1671142770.8473723, 1384, 327, 357, 71, 283, 76
1671142770.8953726, 1376, 334, 357, 71, 284, 75
1671142770.9443731, 1366, 340, 357, 71, 284, 75
1671142770.9953709, 1361, 344, 358, 71, 284, 75
1671142771.0463736, 1360, 344, 357, 71, 284, 75
1671142771.1083713, 1324, 341, 358, 71, 284, 75
1671142771.1714356, 1254, 327, 358, 70, 285, 75
1671142771.2339363, 1194, 308, 358, 71, 285, 76
1671142771.3119304, 1121, 281, 359, 71, 285, 76
1671142771.3749366, 1051, 262, 359, 71, 285, 75
1671142771.436933, 1012, 252, 359, 71, 285, 74
1671142771.4919353, 983, 245, 359, 71, 285, 75
1671142771.5429354, 949, 236, 359, 71, 285, 75
1671142771.5949297, 912, 226, 359, 71, 285, 75
1671142771.6459322, 897, 221, 359, 71, 285, 76
1671142771.6949298, 895, 221, 359, 71, 284, 75
1671142771.7479572, 892, 217, 358, 71, 284, 75
1671142771.7959294, 887, 215, 359, 71, 285, 75
1671142771.842937, 875, 228, 358, 71, 285, 76
1671142771.8899348, 859, 251, 358, 71, 285, 76
1671142771.934934, 845, 269, 359, 71, 284, 75
1671142771.980932, 825, 289, 358, 71, 285, 76
1671142772.0269299, 795, 329, 359, 71, 285, 75
1671142772.0759351, 756, 377, 359, 72, 286, 77
1671142772.128936, 737, 398, 359, 72, 285, 76
1671142772.178933, 736, 399, 359, 72, 285, 77
1671142772.2279356, 736, 399, 359, 72, 285, 77
1671142772.2839332, 734, 403, 359, 72, 285, 76
1671142772.3369715, 707, 436, 359, 72, 286, 77
1671142772.3899372, 663, 496, 359, 72, 285, 77
1671142772.4459682, 650, 536, 359, 72, 285, 77
1671142772.5049357, 653, 547, 359, 72, 286, 77
1671142772.5629342, 660, 549, 359, 72, 286, 77
1671142772.6249344, 673, 571, 359, 73, 285, 77
1671142772.6819332, 690, 635, 359, 73, 285, 77
1671142772.738934, 727, 670, 359, 72, 286, 77
1671142772.797973, 758, 691, 359, 73, 286, 77
1671142772.8529358, 775, 716, 360, 73, 285, 77
1671142772.9059305, 782, 736, 360, 73, 285, 77
1671142772.9579303, 788, 744, 359, 73, 286, 78
1671142773.0059354, 810, 747, 359, 73, 285, 78
1671142773.053933, 853, 749, 359, 73, 285, 78
1671142773.104934, 918, 741, 359, 73, 285, 78
1671142773.1529338, 969, 713, 359, 73, 285, 77
1671142773.2039304, 991, 702, 359, 73, 285, 77
1671142773.2549326, 1002, 683, 359, 73, 285, 77
1671142773.3069358, 1015, 652, 359, 73, 285, 77
1671142773.360282, 1024, 616, 359, 74, 286, 78
1671142773.4242766, 1036, 570, 359, 73, 286, 78
1671142773.4748116, 1041, 560, 358, 73, 285, 78
1671142773.5248063, 1041, 564, 359, 73, 284, 77
1671142773.5738084, 1043, 616, 359, 73, 284, 77
1671142773.6308138, 1045, 659, 358, 73, 285, 78
1671142773.6898077, 1064, 684, 358, 73, 284, 78
1671142773.7438076, 1095, 722, 358, 73, 284, 77
1671142773.7958097, 1111, 772, 357, 74, 284, 79
1671142773.8468084, 1110, 810, 357, 74, 284, 79
1671142773.9158084, 1114, 841, 358, 74, 284, 78
1671142773.9848084, 1120, 854, 358, 74, 285, 78
1671142774.0598085, 1133, 863, 359, 74, 285, 78
1671142774.1418107, 1221, 903, 359, 74, 286, 78
1671142774.2148092, 1309, 935, 358, 73, 284, 78
1671142774.291808, 1331, 943, 357, 74, 284, 78
1671142774.3588092, 1331, 943, 358, 74, 283, 78
1671142774.4358132, 1357, 904, 358, 73, 284, 78
1671142774.513812, 1395, 812, 358, 74, 284, 79
1671142774.5958111, 1405, 796, 358, 74, 283, 78
1671142774.6718106, 1418, 772, 357, 74, 284, 78
1671142774.746811, 1454, 661, 357, 74, 283, 78
1671142774.8238106, 1470, 626, 357, 74, 284, 78
1671142774.889814, 1476, 592, 356, 74, 282, 78
1671142774.954807, 1486, 529, 357, 74, 283, 78
1671142775.0148098, 1490, 516, 356, 73, 283, 78
1671142775.0778081, 1490, 544, 356, 74, 283, 78
1671142775.150812, 1467, 631, 357, 74, 283, 78
1671142775.2178094, 1448, 661, 357, 74, 283, 78
1671142775.2879899, 1391, 694, 358, 74, 285, 78
1671142775.3658075, 1340, 702, 359, 74, 284, 78
1671142775.4498103, 1294, 662, 358, 74, 285, 78
1671142775.526809, 1230, 602, 359, 74, 285, 79
1671142775.595808, 1230, 602, 358, 73, 285, 78
1671142775.6648066, 1227, 603, 358, 74, 285, 78
1671142775.7388086, 1227, 603, 358, 74, 284, 78
